UnixTime,Row,QuestionKey,Timestamp,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Packet reception rate RAW
1680003145.2859747,34,,2023-03-28 17:02:25.285975,48174.0,13828124.0,376359.375,1680003145324.157,2510.0,3655.589743589743,20061.0,65.41242277508766,15.287615984480096,87.0
1680003145.2937872,35,,2023-03-28 17:02:25.293787,48175.0,13828380.0,376367.1875,1680003145331.9695,2516.0,3664.328205128205,20060.0,65.43427426089862,15.282510752894028,87.0
1680003145.3015995,36,,2023-03-28 17:02:25.301600,48176.0,13828636.0,376375.0,1680003145339.782,2526.0,3678.892307692307,20059.0,65.4561403508772,15.277405521307958,87.0
1680003145.3094122,37,,2023-03-28 17:02:25.309412,48177.0,13828892.0,376382.8125,1680003145347.5945,2526.0,3678.892307692307,20060.0,65.43427426089862,15.282510752894028,87.0
1680003145.3172247,38,,2023-03-28 17:02:25.317225,48178.0,13829148.0,376390.625,1680003145355.407,2512.0,3658.502564102564,20062.0,65.39058587881823,15.292721216066164,87.0
1680003145.3250372,39,,2023-03-28 17:02:25.325037,48179.0,13829404.0,376398.4375,1680003145363.2195,2526.0,3678.892307692307,20060.0,65.43427426089862,15.282510752894028,87.0
1680003145.3328495,40,,2023-03-28 17:02:25.332850,48180.0,13829660.0,376406.25,1680003145371.032,2525.0,3677.4358974358975,20060.0,65.43427426089862,15.282510752894028,87.0
1680003145.3340902,41,,2023-03-28 17:02:25.334090,,,,,,,,,,
1680003145.3406622,42,,2023-03-28 17:02:25.340662,48181.0,13829916.0,376414.0625,1680003145378.8445,2498.0,3638.11282051282,20061.0,65.41242277508766,15.287615984480096,87.0
1680003145.3484747,43,,2023-03-28 17:02:25.348475,48182.0,13830172.0,376421.875,1680003145386.657,2509.0,3654.1333333333328,20062.0,65.39058587881823,15.292721216066164,87.0
1680003145.3562872,44,,2023-03-28 17:02:25.356287,48183.0,13830428.0,376429.6875,1680003145394.4695,2513.0,3659.958974358974,20062.0,65.39058587881823,15.292721216066164,87.0
1680003145.3640995,45,,2023-03-28 17:02:25.364100,48184.0,13830684.0,376437.5,1680003145402.282,2523.0,3674.5230769230766,20061.0,65.41242277508766,15.287615984480096,87.0
1680003145.3719122,46,,2023-03-28 17:02:25.371912,48185.0,13830940.0,376445.3125,1680003145410.0945,2526.0,3678.892307692307,20061.0,65.41242277508766,15.287615984480096,87.0
1680003145.3797247,47,,2023-03-28 17:02:25.379725,48186.0,13831196.0,376453.125,1680003145417.907,2511.0,3657.0461538461536,20062.0,65.39058587881823,15.292721216066164,87.0
1680003145.3875372,48,,2023-03-28 17:02:25.387537,48187.0,13831452.0,376460.9375,1680003145425.7195,2525.0,3677.4358974358975,20061.0,65.41242277508766,15.287615984480096,87.0
1680003145.3953495,49,,2023-03-28 17:02:25.395350,48188.0,13831708.0,376468.75,1680003145433.532,2521.0,3671.610256410256,20061.0,65.41242277508766,15.287615984480096,87.0
1680003145.4031622,50,,2023-03-28 17:02:25.403162,48189.0,13831964.0,376476.5625,1680003145441.3445,2522.0,3673.0666666666657,20061.0,65.41242277508766,15.287615984480096,87.0
1680003145.4109747,51,,2023-03-28 17:02:25.410975,48190.0,13832220.0,376484.375,1680003145449.157,2514.0,3661.415384615385,20062.0,65.39058587881823,15.292721216066164,87.0
1680003145.4187872,52,,2023-03-28 17:02:25.418787,48191.0,13832476.0,376492.1875,1680003145456.9695,2524.0,3675.979487179487,20062.0,65.39058587881823,15.292721216066164,87.0
1680003145.4265995,53,,2023-03-28 17:02:25.426600,48192.0,13832732.0,376500.0,1680003145464.782,2500.0,3641.0256410256407,20063.0,65.36876355748373,15.297826447652232,87.0
1680003145.4344122,54,,2023-03-28 17:02:25.434412,48193.0,13832988.0,376507.8125,1680003145472.5945,2525.0,3677.4358974358975,20061.0,65.41242277508766,15.287615984480096,87.0
1680003145.4422247,55,,2023-03-28 17:02:25.442225,48194.0,13833244.0,376515.625,1680003145480.407,2508.0,3652.6769230769214,20063.0,65.36876355748373,15.297826447652232,87.0
1680003145.4500372,56,,2023-03-28 17:02:25.450037,48195.0,13833500.0,376523.4375,1680003145488.2195,2528.0,3681.805128205128,20062.0,65.39058587881823,15.292721216066164,87.0
1680003145.4578495,57,,2023-03-28 17:02:25.457850,48196.0,13833756.0,376531.25,1680003145496.032,2526.0,3678.892307692307,20062.0,65.39058587881823,15.292721216066164,87.0
1680003145.4656622,58,,2023-03-28 17:02:25.465662,48197.0,13834012.0,376539.0625,1680003145503.8445,2524.0,3675.979487179487,20062.0,65.39058587881823,15.292721216066164,87.0
1680003145.4734747,59,,2023-03-28 17:02:25.473475,48198.0,13834268.0,376546.875,1680003145511.657,2511.0,3657.0461538461536,20064.0,65.34695579649707,15.302931679238302,87.0
1680003145.4812872,60,,2023-03-28 17:02:25.481287,48199.0,13834524.0,376554.6875,1680003145519.4695,2517.0,3665.7846153846153,20062.0,65.39058587881823,15.292721216066164,87.0
1680003145.4890995,61,,2023-03-28 17:02:25.489100,48200.0,13834780.0,376562.5,1680003145527.282,2518.0,3667.2410256410258,20062.0,65.39058587881823,15.292721216066164,87.0
1680003145.4969122,62,,2023-03-28 17:02:25.496912,48201.0,13835036.0,376570.3125,1680003145535.0945,2526.0,3678.892307692307,20062.0,65.39058587881823,15.292721216066164,87.0
1680003145.5047247,63,,2023-03-28 17:02:25.504725,48202.0,13835292.0,376578.125,1680003145542.907,2509.0,3654.1333333333328,20064.0,65.34695579649707,15.302931679238302,87.0
1680003145.5125372,64,,2023-03-28 17:02:25.512537,48203.0,13835548.0,376585.9375,1680003145550.7195,2518.0,3667.2410256410258,20062.0,65.39058587881823,15.292721216066164,87.0
